Despesa,Des_Despesa,Fornecedor
PB1240.10,PB1240.10 - Fast-Failures Traceability,FCA Itália
PB1240.11,PB1240.11 - QA MATRIX,FCA Itália
PB1240.12,PB1240.12 - EXTENDED TRACEABILITY,FCA Itália
PB1240.13,PB1240.13 - Supporto SQ stabilimenti,FCA Itália
PB1240.14,PB1240.14 - System Tracking / CF2,FCA Itália
PB1240.15,PB1240.15 - [AMS] Control Plan Management System,FCA Itália
PB1240.16,PB1240.16 - EXTENDED TRACEABILITY XMT,FCA Itália
PB1240.17,PB1240.17 - Quality Reporting Qliqview,FCA Itália
PB1240.18,PB1240.18 - Quality Reporting Qliqview,FCA Itália
PB1240.1,PB1240.1 - [AMS] Readiness Management System,FCA Itália
PB1241.2,PB1241.2 - Manutenção Dispositivo de Controle de Ponto e Acesso,CH Tecnologia
PB1241.3,PB1241.3 - Peças de Reposição Dispositivo de Controle de Ponto e Acesso,CH Tecnologia
PB1241.1,PB1241.1 - Manutenção Dispositivo de Controle de Ponto e Acesso - Berrini,CH Tecnologia
PB1242.2,PB1242.2 - Manutenções Evolutivas extra Budget  (Transferência Verba),IBM e Diversos
PB1242.1,PB1242.1 - Manutenções Evolutivas,IBM e Diversos
PB1243.2,PB1243.2 -  Manutenção Software VetorH,Sênior
PB1244.2,PB1244.2 - AMS VetorH,Sênior
PB1244.3,PB1244.3 - Manutenção Interativa,BHTEC
PB1244.15,PB1244.15 - AMS App B2E,Avenue Code
PB1244.16,PB1244.16 - AMS VetorH incremento novo rateio COMAU,Senior
PB1244.17,PB1244.17 - Senior - Atualização de Versão VetorRH,Senior
PB1245.1,PB1245.1 - (SAPHR) NEW SAP HR SYSTEM,FCA Itália
PB1247.1,PB1247.1 - Manutenções Evolutivas,IBM e Diversos
PB1248.3,PB1248.3 - Manutenção Software ENGEMAN,EAM Sistemas
PB1248.4,PB1248.4 - Manutenção Software PowerDesigner (Ferramenta Case),SAP
PB1249.80,PB1249.80 - AMS IRF Track & Trace,
PB1249.79,PB1249.79 - AMS MRP,Accenture
PB1249.78,PB1249.78 - OBT Suporte 1º Nivel Brasil (7x24),Reply
PB1249.77,PB1249.77 - Serviços RTM,Squadra
PB1249.76,PB1249.76 - Serviços EDI,Reply
PB1249.75,PB1249.75 - Serviços SAP - MM,Reply
PB1249.74,PB1249.74 - Serviços SAP - SD,Reply
PB1249.4,PB1249.4 - Serviços de Transmissão de arquivos CAD (Projeto e-supply),DI2S
PB1249.6,PB1249.6 - AMS Stars and eleen,TCS
PB1249.8,PB1249.8 - Outbound Logistics Trama - Gestão Mensal (OBT),Reply
PB1249.9,PB1249.9 - Serviços de Transmissão de arquivos CAD - FAASA,DI2S
PB1249.12,PB1249.12 - Serviços PAB + Damage,Reply
PB1249.13,PB1249.13 - Sped - DW Logistico - Gestao Mensal - Suporte local,TBD
PB1249.22,"PB1249.22 - Elog Argentina novos modulos (CT, SIM, CMS)",IBM
PB1249.23,PB1249.23 - Yard Truck Management,Reply
PB1249.24,PB1249.24 - Sicad SAP,Accenture
PB1249.40,PB1249.40 - Suporte a Informática (Supply Chain),RVC
PB1249.48,PB1249.48 - Transmissão de Arquivos CAD,DI2S
PB1249.73,PB1249.73 - Suporte a Informática (Supply Chain) - complementar,RVC
PB1250.2,PB1250.2 - CONTAINER MANAGEMENT,FCA Itália
PB1250.3,PB1250.3 - (DBP-NEW) MANUTENZIONE NUOVA DISTINTA BA,FCA Itália
PB1250.4,PB1250.4 - SC - LOG. SYSTEM - CDC9337,FCA Itália
PB1250.5,PB1250.5 - (LPSA) ALLOCAZIONE ORDINI SUD AMERICA,FCA Itália
PB1250.6,PB1250.6 - (POMIX ) PO-MIX,FCA Itália
PB1250.7,PB1250.7 - INTER REGIONAL FLOW METRICS,FCA Itália
PB1250.8,PB1250.8 - (RMD-AL) RIFORNIM.AMERICA LATINA,FCA Itália
PB1250.9,PB1250.9 - IRF - Inter-Regional Flows,FCA Itália
PB1250.10,PB1250.10 - Nuovo sistema Tabelle Standard,FCA Itália
PB1250.11,PB1250.11 - CONTAINER MANAGEMENT,FCA Itália
PB1250.12,PB1250.12 - RTM - Change Management System,FCA Itália
PB1250.13,PB1250.13 - INTER REGIONAL FLOW METRICS,FCA Itália
PB1250.14,PB1250.14 - (POMIX ) PO-MIX,FCA Itália
PB1250.15,PB1250.15 - Running Global Demand Planning,FCA Itália
PB1250.16,PB1250.16 - FPT - RTM,FCA Itália
PB1250.1,PB1250.1 - (PDP) PROGRAMMAZIONE DELLA PRODUZIONE,FCA Itália
PB1257.1,PB1257.1 - Manutenções Evolutivas,IBM e Diversos
PB1259.2,PB1259.2 - On-going Projetos Estratégicos ICT,
PB1261.15,PB1349.1 - License Resilient - CSIRT,IBM
PB1261.14,PB1350.1 - AMS Security Service QRADAR,IBM
PB1261.13,PB1350.2 - Suporte ITO QRADAR,IBM
PB1261.12,PB1347.1 - HW Suporte Garantia e License QRADAR,IBM
PB1261.2,PB1349.2 - Symantec EndPoint Protection,Bizmart
PB1261.3,PB1344.1 - Serviços de Suporte em Segurança ICT para SOX,Stefanini
PB1261.4,PB1344.2 - Serviços de Controle de Acesso Centralizado,Stefanini
PB1261.5,PB1343.1 - Manutenção de SW Autoseg,Vendramini
PB1261.7,PB1349.3 - Certificados Digitais para servidores Web,EXCON
PB1262.1,PB1262.1 - Recuperação Custos Argentina,FAASA
PB1263.1,PB1263.1 - SECURITY COMMON SERVICES,FCA Itália
PB1266.2,PB1266.2 - Manutenção software IBM - Cognos e DataStage,IBM
PB1266.3,PB1266.3 - Manutenção software Suite Qlikview,Toccato
PB1266.4,PB1266.4 - Subscrição IBM Planning Analytics,Ingram / IBM
