"Despesa_Sap","Despesa_Tm1"
"Fev - PB1217.2 - 0800033795 FRAMEWORK TECNOLOGIA EM","PB1217.6 - GESTÃO DO SISTEMA E-CHANGE ( PARTE ENGENHARIA)"
"Fev - PB1217.3 - PROV FRAMEWORK GESTÃO SISTEMA FRAMEWO","PB1217.6 - GESTÃO DO SISTEMA E-CHANGE ( PARTE ENGENHARIA)"
"Fev - PB1217.4 - PROV T SYSTEMS GESTAO MENSAL TEAMCENT","PB1217.2 - GESTÃO WORKSTATIONS CAX - GESTÃO MENSAL"
"Fev - PB1217.6 - PROV STEFANINI GESTÃO CAX REF JANE","PB1217.2 - GESTÃO WORKSTATIONS CAX - GESTÃO MENSAL"
"Fev - PB1217.7 - PROV STEFANINI SUPORTE ON SITE TEAMCE","PB1217.3 - SUPORTE SLM TCAE ON SITE STEFANINI"
"Fev - PB1217.8 - PROV T SYSTEMS GESTAO MENSAL TEAMCENT","PB1217.2 - GESTÃO WORKSTATIONS CAX - GESTÃO MENSAL"
"Fev - PB1218.1 - PROV ICT DESP FCA ITA JAN DEZ 2016",""
"Fev - PB1218.2 - PROV ICT DESP FCA ITA JAN DEZ 2017",""
"Fev - PB1218.3 - PROV ICT DESP FCA ITA JAN DEZ 2018",""
"Fev - PB1218.4 - PROV ICT DESP FCA ITA JAN DEZ 2018",""
"Fev - PB1218.5 - PROV ICT DESP FCA ITA JAN DEZ 2017",""
"Fev - PB1218.6 - PROV ICT DESP FCA ITA JAN DEZ 2016",""
"Fev - PB1220.1 - PROV ICT GOVERNANCE DESPESAS JANEIR","PB1220.1 - ICT Central Governance-Custos Estrutura"
"Fev - PB1220.2 - PROV ICT GOVERNANCE DESPESAS REF J","PB1220.1 - ICT Central Governance-Custos Estrutura"
"Fev - PB1223.1 - PROV IBM SMART AMS JANEIRO/18","PB1223.1 - IBM SMART AMS"
"Fev - PB1223.2 - PROV IBM SMART AMS REF JANEIRO E F","PB1223.1 - IBM SMART AMS"
"Fev - PB1225.1 - PROV FORCE ONE PROFESSIONAL SERVICES","PB1225.3 - Financial Management & Contracts"
